"","req_tot","repartition_requetes","done","problematic"
"1","AU-ID(10039949800) OR AU-ID(10040997700) OR AU-ID(10041642200) OR AU-ID(10042913300) OR AU-ID(10045399600) OR AU-ID(10140803400) OR AU-ID(10143404400) OR AU-ID(10144523800) OR AU-ID(10144695100) OR AU-ID(10340134800)","Mathis2",0,0
"2","AU-ID(10540701900) OR AU-ID(10638840400) OR AU-ID(10639527800) OR AU-ID(10640311700) OR AU-ID(10640610900) OR AU-ID(10642298200) OR AU-ID(10738773000) OR AU-ID(11038796300) OR AU-ID(11141168500) OR AU-ID(11141744800)","Mathis2",0,0
"3","AU-ID(11339893000) OR AU-ID(11440643500) OR AU-ID(11440657800) OR AU-ID(11441054900) OR AU-ID(11539150000) OR AU-ID(11539665300) OR AU-ID(11540142600) OR AU-ID(11641192200) OR AU-ID(11839399600) OR AU-ID(11840172500)","Mathis2",0,0
"4","AU-ID(11840260300) OR AU-ID(11939365400) OR AU-ID(11939853200) OR AU-ID(12040304600) OR AU-ID(12041275600) OR AU-ID(12041928200) OR AU-ID(12139304500) OR AU-ID(12139710900) OR AU-ID(12140505500) OR AU-ID(12141082300)","Mathis2",0,0
"5","AU-ID(12144457700) OR AU-ID(12240659200) OR AU-ID(12240778200) OR AU-ID(12240965100) OR AU-ID(12241078200) OR AU-ID(12242785800) OR AU-ID(12243618100) OR AU-ID(12345336500) OR AU-ID(12445714500) OR AU-ID(12544811100)","Mathis2",0,0
"6","AU-ID(12645618600) OR AU-ID(12645631200) OR AU-ID(12646503600) OR AU-ID(12752589200) OR AU-ID(12752757200) OR AU-ID(12752814600) OR AU-ID(12754872800) OR AU-ID(12760384500) OR AU-ID(12761269700) OR AU-ID(12765590100)","Mathis2",0,0
"7","AU-ID(12767146800) OR AU-ID(12767605900) OR AU-ID(12767636100) OR AU-ID(12769939000) OR AU-ID(12770220800) OR AU-ID(12770281900) OR AU-ID(12772070400) OR AU-ID(12772074400) OR AU-ID(12772110800) OR AU-ID(12773817800)","Mathis2",0,0
"8","AU-ID(12775121200) OR AU-ID(12776065800) OR AU-ID(12776271100) OR AU-ID(12776358400) OR AU-ID(12777476900) OR AU-ID(12778137700) OR AU-ID(12778471500) OR AU-ID(12779253500) OR AU-ID(12779714700) OR AU-ID(12785567600)","Mathis2",0,0
"9","AU-ID(12786540400) OR AU-ID(12787397100) OR AU-ID(12788103200) OR AU-ID(12788526800) OR AU-ID(12788712700) OR AU-ID(12790012100) OR AU-ID(12791805300) OR AU-ID(12791931000) OR AU-ID(12793972500) OR AU-ID(12795672600)","Mathis2",0,0
"10","AU-ID(12797741500) OR AU-ID(12798824100) OR AU-ID(12799046900) OR AU-ID(12800048900) OR AU-ID(12800938200) OR AU-ID(12800978300) OR AU-ID(12801085700) OR AU-ID(12802274100) OR AU-ID(12805012500) OR AU-ID(12805065700)","Mathis2",0,0
