"","requete_liste"
"1","AU-ID(7003327300) OR AU-ID(7003329500) OR AU-ID(7003336781) OR AU-ID(7003337281) OR AU-ID(7003343136)"
"2","AU-ID(7003347181) OR AU-ID(7003350150) OR AU-ID(7003361868) OR AU-ID(7003365365) OR AU-ID(7003816944)"
"3","AU-ID(7003822754) OR AU-ID(7003829225) OR AU-ID(7003830446) OR AU-ID(7003831142) OR AU-ID(7003833829)"
"4","AU-ID(7003837868) OR AU-ID(7003843265) OR AU-ID(7004698481) OR AU-ID(7004704455) OR AU-ID(7004731464)"
"5","AU-ID(7004736800) OR AU-ID(7004738405) OR AU-ID(7004752200) OR AU-ID(7004762946) OR AU-ID(7004764211)"
"6","AU-ID(7005041892) OR AU-ID(7005046768) OR AU-ID(7005059350) OR AU-ID(7005059686) OR AU-ID(7005065275)"
"7","AU-ID(7005069763) OR AU-ID(7005075565) OR AU-ID(7005077203) OR AU-ID(7005077663) OR AU-ID(7005085287)"
"8","AU-ID(7005089609) OR AU-ID(7005098718) OR AU-ID(7005098959) OR AU-ID(7005108319) OR AU-ID(7005109783)"
"9","AU-ID(7005111491) OR AU-ID(7005113352) OR AU-ID(7005126453) OR AU-ID(7005133814) OR AU-ID(7005143761)"
"10","AU-ID(7005152254) OR AU-ID(7005156515) OR AU-ID(7005160225) OR AU-ID(7005168819) OR AU-ID(7005169586)"
"11","AU-ID(7005281131) OR AU-ID(7005288268) OR AU-ID(7005289347) OR AU-ID(7005292091) OR AU-ID(7005298726)"
"12","AU-ID(7005307014) OR AU-ID(7005316519) OR AU-ID(7005322448) OR AU-ID(7005324837) OR AU-ID(7005403657)"
"13","AU-ID(7005410023) OR AU-ID(7005410096) OR AU-ID(7005418612) OR AU-ID(7005432967) OR AU-ID(7005434514)"
"14","AU-ID(7005447255) OR AU-ID(7005461095) OR AU-ID(7005474906) OR AU-ID(7005477060) OR AU-ID(7005482141)"
"15","AU-ID(7005486823) OR AU-ID(7005488388) OR AU-ID(7005494922) OR AU-ID(7005497222) OR AU-ID(7005500591)"
"16","AU-ID(7005576456) OR AU-ID(7005577948) OR AU-ID(7005587053) OR AU-ID(7005590779) OR AU-ID(7005594277)"
